DESCRIPTION,CAMPAIGN,START_DAY,END_DAY
TypeB,24,659,719
TypeC,15,547,708
TypeB,25,659,691
TypeC,20,615,685
TypeB,23,646,684
TypeB,21,624,656
TypeB,22,624,656
TypeA,18,587,642
TypeB,19,603,635
TypeB,17,575,607
TypeC,14,531,596
TypeB,16,561,593
TypeA,13,504,551
TypeB,11,477,523
TypeB,12,477,509
TypeB,10,463,495
TypeB,9,435,467
TypeA,8,412,460
TypeB,7,398,432
TypeC,6,393,425
TypeC,3,356,412
TypeB,5,377,411
TypeB,4,372,404
TypeB,1,346,383
TypeB,2,351,383
TypeA,30,323,369
TypeB,29,281,334
TypeB,28,259,320
TypeC,27,237,300
TypeA,26,224,264
