DESCRIPTION,household_key,CAMPAIGN
TypeA,17,26
TypeA,27,26
TypeA,212,26
TypeA,208,26
TypeA,192,26
TypeA,187,26
TypeA,183,26
TypeA,142,26
TypeA,140,26
TypeA,134,26
TypeA,131,26
TypeA,2492,26
TypeA,2482,26
TypeA,2478,26
TypeA,2459,26
TypeA,2452,26
TypeA,2451,26
TypeA,2448,26
TypeA,2445,26
TypeA,2443,26
TypeA,2427,26
TypeA,2420,26
TypeA,2410,26
TypeA,2407,26
TypeA,2391,26
TypeA,2384,26
TypeA,2371,26
TypeA,2334,26
TypeA,2331,26
TypeA,2328,26
TypeA,2324,26
TypeA,2319,26
TypeA,2318,26
TypeA,2317,26
TypeA,2307,26
TypeA,2305,26
TypeA,2295,26
TypeA,2280,26
TypeA,2274,26
TypeA,2263,26
TypeA,2262,26
TypeA,2258,26
TypeA,2251,26
TypeA,2244,26
TypeA,2240,26
TypeA,2228,26
TypeA,2224,26
TypeA,2223,26
TypeA,2215,26
TypeA,2213,26
TypeA,2208,26
TypeA,2203,26
TypeA,2200,26
TypeA,2194,26
TypeA,2193,26
TypeA,2185,26
TypeA,2182,26
TypeA,2069,26
TypeA,2063,26
TypeA,2062,26
TypeA,2058,26
TypeA,2051,26
TypeA,2050,26
TypeA,2044,26
TypeA,2039,26
TypeA,1634,26
TypeA,1633,26
TypeA,1622,26
TypeA,1613,26
TypeA,1607,26
TypeA,1590,26
TypeA,1584,26
TypeA,1579,26
TypeA,1569,26
TypeA,1558,26
TypeA,1551,26
TypeA,1549,26
TypeA,1544,26
TypeA,1542,26
TypeA,1536,26
TypeA,1528,26
TypeA,1527,26
TypeA,1512,26
TypeA,1502,26
TypeA,1490,26
TypeA,1485,26
TypeA,1476,26
TypeA,1463,26
TypeA,1460,26
TypeA,1452,26
TypeA,1426,26
TypeA,1421,26
TypeA,1420,26
TypeA,1405,26
TypeA,1393,26
TypeA,1391,26
TypeA,1388,26
TypeA,1385,26
TypeA,1382,26
TypeA,1378,26
TypeA,1366,26
TypeA,1364,26
TypeA,1178,26
TypeA,1172,26
TypeA,1138,26
TypeA,1130,26
TypeA,1123,26
TypeA,1121,26
TypeA,1116,26
TypeA,1113,26
TypeA,1104,26
TypeA,1098,26
TypeA,1082,26
TypeA,1070,26
TypeA,1065,26
TypeA,1060,26
TypeA,1055,26
TypeA,1051,26
TypeA,1042,26
TypeA,1018,26
TypeA,1012,26
TypeA,1003,26
TypeA,999,26
TypeA,996,26
TypeA,988,26
TypeA,987,26
TypeA,986,26
TypeA,979,26
TypeA,968,26
TypeA,960,26
TypeA,2168,26
TypeA,2161,26
TypeA,2148,26
TypeA,2134,26
TypeA,2116,26
TypeA,2114,26
TypeA,2111,26
TypeA,2110,26
TypeA,2095,26
TypeA,2088,26
TypeA,2078,26
TypeA,2076,26
TypeA,954,26
TypeA,947,26
TypeA,946,26
TypeA,938,26
TypeA,936,26
TypeA,934,26
TypeA,932,26
TypeA,928,26
TypeA,926,26
TypeA,924,26
TypeA,918,26
TypeA,909,26
TypeA,907,26
TypeA,895,26
TypeA,889,26
TypeA,883,26
