household_key,DAY,COUPON_UPC,CAMPAIGN
1,421,10000085364,8
1,421,51700010076,8
1,427,54200000033,8
1,597,10000085476,18
1,597,54200029176,18
8,422,53600000078,8
13,396,53700048182,5
13,424,10000085364,8
13,434,53600000078,8
13,447,52370020076,8
13,478,53600050042,11
13,494,53600000082,10
13,512,51600070033,13
13,512,52500060033,11
13,512,54154889076,13
13,543,10000085427,13
13,543,52740022050,13
13,609,10000089277,18
13,609,51800015050,18
13,609,53500035050,18
13,609,54105800093,18
13,636,52800031032,22
13,642,51312010033,22
13,642,53980010082,18
13,647,10000089316,22
13,647,54400021032,22
13,651,51800000050,22
14,540,10000089128,13
14,540,51480000076,13
14,540,52740022050,13
18,428,53700020076,8
18,428,55000013033,8
18,515,10000085429,13
18,515,51380020033,13
18,515,55000013050,13
18,599,10000085475,18
18,634,55000013950,18
18,637,52500010050,18
19,684,54100027032,20
22,228,51111540076,26
22,228,55410000076,26
22,243,52500010033,26
22,243,55150054075,26
22,333,51600070033,30
22,376,52277610055,4
22,376,53450050033,4
22,376,54300026150,4
22,382,51111540076,4
22,447,54850011033,9
22,509,51440050055,13
22,526,51440050055,13
22,592,10000085475,18
22,592,10000085484,18
22,592,10000089284,18
22,592,51600070033,18
22,592,51800010250,18
22,607,54300026050,18
22,607,54850010033,18
22,628,52100000031,22
22,628,54450000076,22
22,640,51312010033,22
22,640,54850010033,18
22,640,54850010033,22
22,642,10000085486,22
29,460,55100012140,8
31,663,53000000036,23
31,677,54060060033,23
40,505,10000089106,13
40,512,53620010050,13
40,528,10000089098,13
40,530,10000085429,13
40,533,10000089101,13
40,533,50800490076,13
40,533,51254711082,13
40,541,57455024475,13
40,550,55942700087,13
40,607,57410101082,18
40,607,57410101082,19
40,628,52000030042,18
40,638,54060060076,18
40,638,54200029176,18
46,419,10000085361,8
46,419,10000085363,8
56,420,57800000033,8
56,422,54200000033,8
58,591,10000085475,18
58,591,10000089195,17
58,591,51800015050,18
58,591,53800030050,17
58,591,54133500050,18
58,591,54154888076,18
58,591,57045970076,17
67,431,10000085364,8
67,431,53663200076,8
67,431,54154889078,8
67,431,54900065051,8
67,431,57756765076,8
67,438,52840042077,9
67,455,53800050033,8
67,455,53800050033,9
67,455,55000013050,8
67,514,10000085426,13
67,514,53700040075,13
67,530,52016910055,13
67,608,10000085475,18
67,608,10000089290,18
67,608,51800015050,18
67,608,51906341075,18
67,608,53010010033,18
67,610,57631000076,18
67,616,55000013950,18
67,632,51800000050,22
67,632,57045970076,22
67,639,54850010033,18
67,639,54850010033,22
67,639,57218040076,18
67,665,52840000082,23
67,681,10000085491,23
67,681,51200000076,23
67,681,53000000036,23
67,681,54060060033,23
67,681,54850010033,23
67,681,55100000033,23
67,681,55200017313,23
67,691,52700012033,25
68,333,54154888076,30
77,601,55000013950,18
79,602,55000013950,18
80,612,53600010087,19
88,486,57940062040,11
88,542,53620010028,14
88,576,10000089194,17
88,592,53800030050,17
88,592,57045970076,17
88,654,54400000032,23
88,685,54132220050,25
93,282,51380041313,29
93,325,54400000033,29
93,329,51380041013,29
93,375,51380040009,1
93,424,51111121078,7
93,438,52580010042,9
93,509,53800050033,13
93,509,54369530009,13
99,515,10000085426,13
99,543,10000089077,13
99,633,10000085475,18
99,633,54060060076,18
101,526,10000085429,13
101,526,10000089135,13
101,608,10000085476,18
101,624,52000030042,18
101,636,54900050076,18
104,586,53450058040,17
104,600,53800030050,17
104,600,54280011660,17
104,614,10000085477,18
105,591,10000085479,18
105,591,51960010076,18
105,591,52000030042,18
105,591,52100023024,18
105,591,52500010050,18
105,591,52840001082,18
105,591,54060060076,18
105,591,55410000076,18
113,562,53500000076,16
113,671,51111120078,20
115,400,50813700076,5
115,400,53600010082,5
115,407,50813700076,5
115,407,53600010082,5
115,407,57007440087,5
115,421,54450031033,8
115,428,53760084282,8
115,430,54100027009,8
115,518,10000085429,13
115,518,51910011176,13
115,518,56414410013,13
115,567,10000085482,16
115,608,50008710076,19
115,608,51500050033,19
115,625,50008710076,19
115,647,50052110076,20
115,647,53620010028,20
115,647,54100024032,20
115,647,54100027032,20
117,426,10000085361,8
117,426,10000089019,8
117,426,54154888076,8
117,521,10000085426,13
117,521,10000085427,13
117,575,54589353178,14
117,597,54300026050,18
125,417,54154888076,8
125,417,54154889078,8
127,595,10000089257,18
127,595,51111120001,18
127,595,51111120076,14
127,595,51600070033,18
139,522,54300020076,13
139,535,10000089093,13
139,535,52840042034,13
139,535,54100024950,13
139,598,10000085475,18
139,598,51906341075,18
139,598,52500010050,18
139,621,51570011042,18
139,621,57294010033,18
143,455,10000085363,8
143,514,54300020076,13
143,514,55410000076,13
156,524,55150026055,13
