Name,Date
2nd January (Scotland),02/01/2000
New Year's Day,03/01/2000
St Patrick's Day (Northern Ireland),17/03/2000
Good Friday,21/04/2000
Easter Monday,24/04/2000
Early May Bank Holiday (May Day),01/05/2000
Late May Bank Holiday,29/05/2000
Battle of the Boyne (Northern Ireland),12/07/2000
August Bank Holiday (Scotland),07/08/2000
August Bank Holiday (England and Wales Northern Ireland),28/08/2000
St Andrew's Day (Scotland),30/11/2000
Christmas Day,25/12/2000
Boxing Day,26/12/2000
New Year's Day,01/01/2001
2nd January (Scotland),02/01/2001
St Patrick's Day (Northern Ireland),17/03/2001
Substitute Day for St Patrick's Day (Northern Ireland),19/03/2001
Good Friday,13/04/2001
Easter Monday (England and Wales Northern Ireland),16/04/2001
Early May Bank Holiday (May Day),07/05/2001
Late May Bank Holiday,28/05/2001
Battle of the Boyne (Northern Ireland),12/07/2001
August Bank Holiday (Scotland),06/08/2001
August Bank Holiday (England and Wales Northern Ireland),27/08/2001
St Andrew's Day (Scotland),30/11/2001
Christmas Day,25/12/2001
Boxing Day,26/12/2001
New Year's Day,01/01/2002
2nd January (Scotland),02/01/2002
St Patrick's Day (Northern Ireland),17/03/2002
Substitute Day for St Patrick's Day (Northern Ireland),18/03/2002
Good Friday,29/03/2002
Easter Monday (England and Wales Northern Ireland),01/04/2002
Early May Bank Holiday (May Day),06/05/2001
Golden Jubilee of Elizabeth II,03/06/2002
Late May Bank Holiday,04/06/2002
Battle of the Boyne (Northern Ireland),12/07/2002
August Bank Holiday (Scotland),05/08/2002
August Bank Holiday (England and Wales Northern Ireland),26/08/2002
St Andrew's Day (Scotland),30/11/2002
Substitute day for St Andrew's Day (Scotland),02/12/2002
Christmas Day,25/12/2002
Boxing Day,26/12/2002
New Year's Day,01/01/2003
2nd January (Scotland),02/01/2003
St Patrick's Day (Northern Ireland),17/03/2003
Good Friday,18/04/2003
Easter Monday (England and Wales Northern Ireland),21/04/2003
Early May Bank Holiday (May Day),05/05/2003
Late May Bank Holiday,26/05/2003
Battle of the Boyne (Northern Ireland),12/07/2003
August Bank Holiday (Scotland),04/08/2003
August Bank Holiday (England and Wales Northern Ireland),25/08/2003
St Andrew's Day (Scotland),30/11/2003
Substitute day for St Andrew's Day (Scotland),01/12/2003
Christmas Day,25/12/2003
Boxing Day,26/12/2003
New Year's Day,01/01/2004
2nd January (Scotland),02/01/2004
St Patrick's Day (Northern Ireland),17/03/2004
Good Friday,09/04/2004
Easter Monday (England and Wales Northern Ireland),12/04/2004
Early May Bank Holiday (May Day),03/05/2004
Late May Bank Holiday,31/05/2004
Battle of the Boyne (Northern Ireland),12/07/2004
August Bank Holiday (Scotland),02/08/2004
August Bank Holiday (England and Wales Northern Ireland),30/08/2004
St Andrew's Day (Scotland),30/11/2004
Christmas Day,25/12/2004
Boxing Day,26/12/2004
Substitute day for Christmas Day,27/12/2004
Substitute day for Boxing Day,28/12/2004
2nd January (Scotland),02/01/2005
New Year's Day,03/01/2005
St Patrick's Day (Northern Ireland),17/03/2005
Good Friday,25/03/2005
Easter Monday (England and Wales Northern Ireland),28/03/2005
Early May Bank Holiday (May Day),02/05/2005
Late May Bank Holiday,30/05/2005
Battle of the Boyne (Northern Ireland),12/07/2005
August Bank Holiday (Scotland),01/08/2005
August Bank Holiday (England and Wales Northern Ireland),29/08/2005
St Andrew's Day (Scotland),30/11/2005
Christmas Day,25/12/2005
Boxing Day,26/12/2005
Substitute day for Christmas Day,27/12/2005
New Year's Day,01/01/2006
2nd January (Scotland),02/01/2006
St Patrick's Day (Northern Ireland),17/03/2006
Good Friday,14/04/2006
Easter Monday (England and Wales Northern Ireland),17/04/2006
Early May Bank Holiday (May Day),01/05/2006
Late May Bank Holiday,29/05/2006
